index,sessionId,name,speech,q&a
1,1,关于慈善的思考——第四届“国际公益慈善论坛”演讲,https://youtu.be/F1GLkQHIIcY,
2,1,放生利众 勤修佛法——河北万佛禅寺开示,https://youtu.be/yCksDEs_HpA,
3,1,真正的“财富”——北京万人放生开示,https://youtu.be/7MEMfNV5MNk,
4,1,藏文化的修心养生观——清华大学科技园演讲,https://youtu.be/8TPIguy15YI,https://youtu.be/wZaKPndzg9M
5,1,佛教空性观——北京大学哲学系演讲,https://youtu.be/hFbQlCghtDY,https://youtu.be/fkpKVFg6FSo
6,1,信仰与人生——北京大学宗教文化研究院演讲,https://youtu.be/y18qPDKEoBs,https://youtu.be/6HJP1BrQSZE
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
